audit_id	requirement	expected_status	observed_status	evidence_path	evidence_sha256	note
A013	Phase 12 performance and release	conditional	not_run_phase7_no_go	paper/ssw_cuda/forward_hybrid_decision.json	d0263d390ad0737275457215ef81ac61658a814461de37bbe5921e54f1979fb1	No B3 run, CLI promotion, or release candidate.
A014	Historical canonical-hybrid-v2 no-go preserved	pass	pass	paper/bioinformatics/canonical_hybrid_v2_performance_receipt.json	765a77c9f3ee5a4a544a1d59a11a20868c94217843aa433942332c860dec7219	0.257592x speedup; 3.882109x slowdown; track closed.
A015	Amdahl threshold unchanged	pass	pass	paper/ssw_cuda/amdahl_v2_decision.json	dd8ac536e60cacea10ed4ec0ad1cc705dde797f308aa53a0e87c2affa8214fdd	Target remains 10x.
A016	CPU oracle source and binary do not drift	pass	pass	paper/ssw_cuda/cpu_oracle_binary_receipt.json	647d4a8141c75ecbc936a6a25ddc8fda607cba1f76d956de3ee0abe4eaf66941	Final checker binds execution commit and binary SHA.
A017	Used-input exclusion registry reproducible	pass	pass	paper/ssw_cuda/used_input_exclusion_registry.tsv	6f10f684192d0f5cffa46d2c2e3c987cb7f4590e51ea61381e899695079d6762	112 deduplicated exclusions remain frozen.
A018	Fresh holdout and 50x668 panel not consumed	pass	pass	paper/ssw_cuda/forward_hybrid_decision.json	d0263d390ad0737275457215ef81ac61658a814461de37bbe5921e54f1979fb1	Both flags are false.
A019	Integrated L1-L7 correctness promotion	pass	not_achieved	paper/ssw_cuda/forward_hybrid_decision.json	d0263d390ad0737275457215ef81ac61658a814461de37bbe5921e54f1979fb1	Failure is explicit; no narrower success is substituted.
A020	L8 remains diagnostic only	pass	pass	paper/ssw_cuda/forward_hybrid_decision.json	d0263d390ad0737275457215ef81ac61658a814461de37bbe5921e54f1979fb1	No full-output replacement claim.
A021	CPU counters and failure inventory retained	pass	pass	paper/ssw_cuda/forward_hybrid_source_data.tsv	11e6af72d18a95ca746f7b872cbded4eb605a8f8b41e8bc6be590c37f4cc708f	26 complete, 1 technical failure, 22 not started.
A022	Independent execution and offline comparison	pass	pass	paper/ssw_cuda/forward_hybrid_decision.json	d0263d390ad0737275457215ef81ac61658a814461de37bbe5921e54f1979fb1	Authority references were not executed or read by F.
A023	Performance statistics and B3 boundary honest	pass	pass	paper/ssw_cuda/forward_hybrid_projection.json	bd50756f53eb6066f965538280dd543fc3273b627dfc46b93b1727e936eb4485	Projection is incomplete and explicitly non-formal; B3 stays closed.
A024	License inventory available	pass	pass	paper/ssw_cuda/license_inventory.tsv	a4ba625c3355602a5e41b374aadd549e96e1ff5e3b658398724979639c04237f	Release completeness is not inferred from inventory alone.
A025	Release reproducibility	pass	not_achieved	paper/ssw_cuda/forward_hybrid_decision.json	d0263d390ad0737275457215ef81ac61658a814461de37bbe5921e54f1979fb1	No release candidate was authorized.
A026	Final working tree clean	pass	pass	NA	NA	Certified by final aggregate mode after the certification commit.
A027	Final artifacts committed	pass	pass	NA	NA	Final artifacts are tracked and bound by the certification commit.
A028	Phase 13 completion	pass	pass	NA	NA	Final decision and aggregate checker both pass.
