attempt_id	execution_stage	backend	scope	unique_case_count	repeat_id	order	device	gpu_assignment	contract_layers	threshold_policy	maximum_total_dp_cells	timeout_seconds	retry_policy	claim_role	formal_source_data	runner_commit_policy	expected_status	artifact_root
p5-determinism-r09	determinism	ssw_cuda_preselect_v1	fixed_16_case_subset	16	9	19	0	logical_0_physical_0	L1,L2	min_65_static_max_score_upper_bound_minus_1	2147483648	300	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/preselect/formal-v1/p5-determinism-r09
p5-dual-gpu0	same_model_dual_gpu	ssw_cuda_preselect_v1	fixed_16_case_subset	16	0	20	0	logical_0_physical_0	L1,L2	min_65_static_max_score_upper_bound_minus_1	2147483648	300	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/preselect/formal-v1/p5-dual-gpu0
p5-dual-gpu1	same_model_dual_gpu	ssw_cuda_preselect_v1	fixed_16_case_subset	16	0	21	1	logical_1_physical_1	L1,L2	min_65_static_max_score_upper_bound_minus_1	2147483648	300	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/preselect/formal-v1/p5-dual-gpu1
p5-fail-empty_query	fail_closed	ssw_cuda_preselect_v1	empty_query	1	0	22	0	logical_0_physical_0	L1,L2	min_65_static_max_score_upper_bound_minus_1	2147483648	60	none	regression_only	1	committed_HEAD_clean_at_start	fail_closed	.paper-artifacts/ssw-cuda-v1/preselect/formal-v1/p5-fail-empty_query
p5-fail-empty_reference	fail_closed	ssw_cuda_preselect_v1	empty_reference	1	0	23	0	logical_0_physical_0	L1,L2	min_65_static_max_score_upper_bound_minus_1	2147483648	60	none	regression_only	1	committed_HEAD_clean_at_start	fail_closed	.paper-artifacts/ssw-cuda-v1/preselect/formal-v1/p5-fail-empty_reference
p5-fail-invalid_base	fail_closed	ssw_cuda_preselect_v1	invalid_base	1	0	24	0	logical_0_physical_0	L1,L2	min_65_static_max_score_upper_bound_minus_1	2147483648	60	none	regression_only	1	committed_HEAD_clean_at_start	fail_closed	.paper-artifacts/ssw-cuda-v1/preselect/formal-v1/p5-fail-invalid_base
p5-fail-query_too_long	fail_closed	ssw_cuda_preselect_v1	query_too_long	1	0	25	0	logical_0_physical_0	L1,L2	min_65_static_max_score_upper_bound_minus_1	2147483648	60	none	regression_only	1	committed_HEAD_clean_at_start	fail_closed	.paper-artifacts/ssw-cuda-v1/preselect/formal-v1/p5-fail-query_too_long
p5-fail-capacity	fail_closed	ssw_cuda_preselect_v1	capacity	1	0	26	0	logical_0_physical_0	L1,L2	min_65_static_max_score_upper_bound_minus_1	2147483648	60	none	regression_only	1	committed_HEAD_clean_at_start	fail_closed	.paper-artifacts/ssw-cuda-v1/preselect/formal-v1/p5-fail-capacity
p5-fail-out_of_memory	fail_closed	ssw_cuda_preselect_v1	out_of_memory	1	0	27	0	logical_0_physical_0	L1,L2	min_65_static_max_score_upper_bound_minus_1	2147483648	60	none	regression_only	1	committed_HEAD_clean_at_start	fail_closed	.paper-artifacts/ssw-cuda-v1/preselect/formal-v1/p5-fail-out_of_memory
p5-fail-contract_drift	fail_closed	ssw_cuda_preselect_v1	contract_drift	1	0	28	0	logical_0_physical_0	L1,L2	min_65_static_max_score_upper_bound_minus_1	2147483648	60	none	regression_only	1	committed_HEAD_clean_at_start	fail_closed	.paper-artifacts/ssw-cuda-v1/preselect/formal-v1/p5-fail-contract_drift
p5-fail-device_out_of_range	fail_closed	ssw_cuda_preselect_v1	device_out_of_range	1	0	29	0	logical_0_physical_0	L1,L2	min_65_static_max_score_upper_bound_minus_1	2147483648	60	none	regression_only	1	committed_HEAD_clean_at_start	fail_closed	.paper-artifacts/ssw-cuda-v1/preselect/formal-v1/p5-fail-device_out_of_range
