attempt_id	execution_stage	backend	scope	unique_case_count	repeat_id	order	device	gpu_assignment	contract_layers	maximum_total_dp_cells	timeout_seconds	retry_policy	claim_role	formal_source_data	runner_commit_policy	expected_status	artifact_root
p6-determinism-r07	determinism	ssw_cuda_exact_forward_v1	fixed_18_case_subset	18	7	14	0	logical_0_physical_0	L1,L3	2147483648	300	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/forward/formal-v1/p6-determinism-r07
p6-determinism-r08	determinism	ssw_cuda_exact_forward_v1	fixed_18_case_subset	18	8	15	0	logical_0_physical_0	L1,L3	2147483648	300	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/forward/formal-v1/p6-determinism-r08
p6-determinism-r09	determinism	ssw_cuda_exact_forward_v1	fixed_18_case_subset	18	9	16	0	logical_0_physical_0	L1,L3	2147483648	300	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/forward/formal-v1/p6-determinism-r09
p6-dual-gpu0	same_model_dual_gpu	ssw_cuda_exact_forward_v1	fixed_18_case_subset	18	0	17	0	logical_0_physical_0	L1,L3	2147483648	300	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/forward/formal-v1/p6-dual-gpu0
p6-dual-gpu1	same_model_dual_gpu	ssw_cuda_exact_forward_v1	fixed_18_case_subset	18	0	18	1	logical_1_physical_1	L1,L3	2147483648	300	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/forward/formal-v1/p6-dual-gpu1
p6-forward-fail-empty_query	forward_fail_closed	ssw_cuda_exact_forward_v1	empty_query	1	0	19	0	logical_0_physical_0	L1,L3	2147483648	60	none	regression_only	1	committed_HEAD_clean_at_start	fail_closed	.paper-artifacts/ssw-cuda-v1/forward/formal-v1/p6-forward-fail-empty_query
p6-forward-fail-empty_reference	forward_fail_closed	ssw_cuda_exact_forward_v1	empty_reference	1	0	20	0	logical_0_physical_0	L1,L3	2147483648	60	none	regression_only	1	committed_HEAD_clean_at_start	fail_closed	.paper-artifacts/ssw-cuda-v1/forward/formal-v1/p6-forward-fail-empty_reference
p6-forward-fail-invalid_base	forward_fail_closed	ssw_cuda_exact_forward_v1	invalid_base	1	0	21	0	logical_0_physical_0	L1,L3	2147483648	60	none	regression_only	1	committed_HEAD_clean_at_start	fail_closed	.paper-artifacts/ssw-cuda-v1/forward/formal-v1/p6-forward-fail-invalid_base
p6-forward-fail-query_too_long	forward_fail_closed	ssw_cuda_exact_forward_v1	query_too_long	1	0	22	0	logical_0_physical_0	L1,L3	2147483648	60	none	regression_only	1	committed_HEAD_clean_at_start	fail_closed	.paper-artifacts/ssw-cuda-v1/forward/formal-v1/p6-forward-fail-query_too_long
p6-forward-fail-capacity	forward_fail_closed	ssw_cuda_exact_forward_v1	capacity	1	0	23	0	logical_0_physical_0	L1,L3	2147483648	60	none	regression_only	1	committed_HEAD_clean_at_start	fail_closed	.paper-artifacts/ssw-cuda-v1/forward/formal-v1/p6-forward-fail-capacity
p6-forward-fail-out_of_memory	forward_fail_closed	ssw_cuda_exact_forward_v1	out_of_memory	1	0	24	0	logical_0_physical_0	L1,L3	2147483648	60	none	regression_only	1	committed_HEAD_clean_at_start	fail_closed	.paper-artifacts/ssw-cuda-v1/forward/formal-v1/p6-forward-fail-out_of_memory
p6-forward-fail-contract_drift	forward_fail_closed	ssw_cuda_exact_forward_v1	contract_drift	1	0	25	0	logical_0_physical_0	L1,L3	2147483648	60	none	regression_only	1	committed_HEAD_clean_at_start	fail_closed	.paper-artifacts/ssw-cuda-v1/forward/formal-v1/p6-forward-fail-contract_drift
p6-forward-fail-device_out_of_range	forward_fail_closed	ssw_cuda_exact_forward_v1	device_out_of_range	1	0	26	0	logical_0_physical_0	L1,L3	2147483648	60	none	regression_only	1	committed_HEAD_clean_at_start	fail_closed	.paper-artifacts/ssw-cuda-v1/forward/formal-v1/p6-forward-fail-device_out_of_range
p6-reducer-fail-empty_batch	reducer_fail_closed	ssw_cuda_exact_forward_v1	empty_batch	1	0	27	0	logical_0_physical_0	L1,L3	2147483648	60	none	regression_only	1	committed_HEAD_clean_at_start	fail_closed	.paper-artifacts/ssw-cuda-v1/forward/formal-v1/p6-reducer-fail-empty_batch
p6-reducer-fail-empty_columns	reducer_fail_closed	ssw_cuda_exact_forward_v1	empty_columns	1	0	28	0	logical_0_physical_0	L1,L3	2147483648	60	none	regression_only	1	committed_HEAD_clean_at_start	fail_closed	.paper-artifacts/ssw-cuda-v1/forward/formal-v1/p6-reducer-fail-empty_columns
p6-reducer-fail-invalid_numeric_path	reducer_fail_closed	ssw_cuda_exact_forward_v1	invalid_numeric_path	1	0	29	0	logical_0_physical_0	L1,L3	2147483648	60	none	regression_only	1	committed_HEAD_clean_at_start	fail_closed	.paper-artifacts/ssw-cuda-v1/forward/formal-v1/p6-reducer-fail-invalid_numeric_path
p6-reducer-fail-invalid_mask	reducer_fail_closed	ssw_cuda_exact_forward_v1	invalid_mask	1	0	30	0	logical_0_physical_0	L1,L3	2147483648	60	none	regression_only	1	committed_HEAD_clean_at_start	fail_closed	.paper-artifacts/ssw-cuda-v1/forward/formal-v1/p6-reducer-fail-invalid_mask
p6-reducer-fail-invalid_column_score	reducer_fail_closed	ssw_cuda_exact_forward_v1	invalid_column_score	1	0	31	0	logical_0_physical_0	L1,L3	2147483648	60	none	regression_only	1	committed_HEAD_clean_at_start	fail_closed	.paper-artifacts/ssw-cuda-v1/forward/formal-v1/p6-reducer-fail-invalid_column_score
